timestamp,query_type,zone_id,zone_b,cache_status,cache_key,latency_ms
1780377488.158726,Q4,Z4,Z2,MISS,Q4:zone_a=Z4:zone_b=Z2:conf=0.7,3.936767578125
1780377488.1599495,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.5,0.5648136138916016
1780377488.1638339,Q3,Z2,,MISS,Q3:zone=Z2:conf=0.7,3.342866897583008
1780377488.1650417,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.7,0.6256103515625
1780377488.1665137,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.0,0.7448196411132812
1780377488.1678782,Q5,Z4,,HIT,Q5:zone=Z4:bins=10,0.7538795471191406
1780377488.169146,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.5,0.690460205078125
1780377488.1705105,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.5,0.8425712585449219
1780377488.1720057,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.7126331329345703
1780377488.1741054,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.0,1.5118122100830078
1780377488.175718,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.0,0.8721351623535156
1780377488.1773684,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.0,0.8800029754638672
1780377488.1787925,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.0,0.7801055908203125
1780377488.1823394,Q1,Z2,,MISS,Q1:zone=Z2:conf=0.7,3.2427310943603516
1780377488.1835597,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.6508827209472656
1780377488.1878412,Q4,Z1,Z3,MISS,Q4:zone_a=Z1:zone_b=Z3:conf=0.5,4.00233268737793
1780377488.1920793,Q3,Z4,,MISS,Q3:zone=Z4:conf=0.7,3.669261932373047
1780377488.1955636,Q5,Z5,,MISS,Q5:zone=Z5:bins=10,3.0450820922851562
1780377488.1967332,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.6175041198730469
1780377488.1997092,Q5,Z1,,MISS,Q5:zone=Z1:bins=5,2.692699432373047
1780377488.2010343,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.5,0.7004737854003906
1780377488.2024791,Q4,Z1,Z3,HIT,Q4:zone_a=Z1:zone_b=Z3:conf=0.0,0.812530517578125
1780377488.20711,Q3,Z3,,MISS,Q3:zone=Z3:conf=0.7,4.296302795410156
1780377488.208668,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.8146762847900391
1780377488.2153132,Q4,Z2,Z1,MISS,Q4:zone_a=Z2:zone_b=Z1:conf=0.7,5.639076232910156
1780377488.2170436,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.9312629699707031
1780377488.2213597,Q5,Z2,,MISS,Q5:zone=Z2:bins=10,3.9789676666259766
1780377488.2230651,Q1,Z5,,HIT,Q1:zone=Z5:conf=0.0,0.8628368377685547
1780377488.224943,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,1.0094642639160156
1780377488.2349916,Q2,Z3,,MISS,Q2:zone=Z3:conf=0.7,8.919954299926758
1780377488.2466009,Q4,Z1,Z4,MISS,Q4:zone_a=Z1:zone_b=Z4:conf=0.0,11.041879653930664
1780377488.2477922,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.7,0.6406307220458984
1780377488.2489007,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.6127357482910156
1780377488.2503786,Q2,Z2,,HIT,Q2:zone=Z2:conf=0.5,0.9694099426269531
1780377488.2531083,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.0,2.0875930786132812
1780377488.255828,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,1.89208984375
1780377488.2606544,Q4,Z2,Z3,MISS,Q4:zone_a=Z2:zone_b=Z3:conf=0.0,4.4803619384765625
1780377488.2621775,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.6914138793945312
1780377488.2638602,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,1.1272430419921875
1780377488.265107,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.6761550903320312
1780377488.2661922,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.6363391876220703
1780377488.2675884,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.7910728454589844
1780377488.2690802,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.8933544158935547
1780377488.2708142,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.5,1.0352134704589844
1780377488.2756245,Q4,Z5,Z4,MISS,Q4:zone_a=Z5:zone_b=Z4:conf=0.5,4.340648651123047
