timestamp,experiment_name,topic,group_id,partition,end_offset,committed_offset,lag,total_lag
2026-06-04T02:52:58.834471+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:52:58.834471+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:00.058102+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:00.058102+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:00.058102+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:00.058102+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:01.275093+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:01.275093+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:01.275093+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:01.275093+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:02.492696+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:02.492696+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:02.492696+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:02.492696+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:03.739009+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:03.739009+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:03.739009+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:03.739009+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:04.984368+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:04.984368+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:04.984368+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:04.984368+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:06.317721+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:06.317721+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:06.317721+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:06.317721+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:07.551023+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:07.551023+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:07.551023+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:07.551023+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:08.787477+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:08.787477+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:08.787477+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:08.787477+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:10.019236+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:10.019236+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:10.019236+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:10.019236+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:11.260782+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:11.260782+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:11.260782+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:11.260782+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:12.500216+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:12.500216+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:12.500216+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:12.500216+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:13.737785+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,0,212,1000
2026-06-04T02:53:13.737785+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,0,265,1000
2026-06-04T02:53:13.737785+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,0,263,1000
2026-06-04T02:53:13.737785+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,0,260,1000
2026-06-04T02:53:14.978649+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,0,212,212,0,0
2026-06-04T02:53:14.978649+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,1,265,265,0,0
2026-06-04T02:53:14.978649+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,2,263,263,0,0
2026-06-04T02:53:14.978649+00:00,exp_07_backlog_recovery,queries-topic,query-consumers,3,260,260,0,0
