timestamp,experiment_name,event_type,query_id,query_type,zone,cache_key,retry_count,latency_ms,topic,status,error
2026-06-04T02:38:47.887408+00:00,exp_05_retry_success,sent_to_retry,57d27831-85c9-4b53-806c-f302530bcac6,Q4,Z3,Q4:zone=Z3:zone_b=Z1:conf=0.5,1,10.0041,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.895069+00:00,exp_05_retry_success,sent_to_retry,222f99fd-741d-4db1-be17-8d261000f06e,Q3,Z5,Q3:zone=Z5:conf=0.5,1,7.3428,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.904443+00:00,exp_05_retry_success,sent_to_retry,b78c51c2-645a-4e65-bb22-cce52dd5d591,Q1,Z1,Q1:zone=Z1:conf=0.7,1,8.4108,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.912231+00:00,exp_05_retry_success,sent_to_retry,d1094012-5a6b-425a-be01-28381cae0f88,Q5,Z2,Q5:zone=Z2:bins=5,1,6.7579,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.919921+00:00,exp_05_retry_success,sent_to_retry,fa2835c8-0c4c-47b3-b1c7-ca5faab5a097,Q4,Z1,Q4:zone=Z1:zone_b=Z2:conf=0.0,1,7.2845,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.925847+00:00,exp_05_retry_success,sent_to_retry,dac9b65d-3cd0-4396-b149-72c68e4178ae,Q1,Z2,Q1:zone=Z2:conf=0.7,1,4.916,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.931654+00:00,exp_05_retry_success,sent_to_retry,7becd700-ad40-46f1-9103-464c5f27b8de,Q1,Z5,Q1:zone=Z5:conf=0.5,1,5.2991,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.955426+00:00,exp_05_retry_success,sent_to_retry,c1f1a897-9159-4c87-98ec-56d35165be0f,Q2,Z2,Q2:zone=Z2:conf=0.0,1,12.0113,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.961373+00:00,exp_05_retry_success,sent_to_retry,041ebe75-d87a-4080-aff0-2b91d653a7d2,Q3,Z1,Q3:zone=Z1:conf=0.7,1,5.2499,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.966732+00:00,exp_05_retry_success,sent_to_retry,7d38f008-e5ab-4af8-9733-a229988e2790,Q1,Z5,Q1:zone=Z5:conf=0.0,1,4.7565,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.973249+00:00,exp_05_retry_success,sent_to_retry,ee77df80-018e-4a77-84ec-8159b3c288c2,Q1,Z2,Q1:zone=Z2:conf=0.7,1,5.6928,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.979941+00:00,exp_05_retry_success,sent_to_retry,a6d45627-0275-48e7-b322-19f13b729a79,Q1,Z1,Q1:zone=Z1:conf=0.7,1,5.7604,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.986220+00:00,exp_05_retry_success,sent_to_retry,fc65a1ea-2603-4c50-8865-ac99b667089d,Q1,Z2,Q1:zone=Z2:conf=0.7,1,5.3213,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:47.992153+00:00,exp_05_retry_success,sent_to_retry,6b244182-e446-4a0f-8684-254de4ae644e,Q4,Z3,Q4:zone=Z3:zone_b=Z4:conf=0.0,1,5.3162,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.002101+00:00,exp_05_retry_success,sent_to_retry,bd82d4e9-b74b-49f5-a3d4-82396281ac67,Q3,Z5,Q3:zone=Z5:conf=0.5,1,8.7832,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.035162+00:00,exp_05_retry_success,sent_to_retry,2988b989-9c0e-409c-a655-69b83707ae6f,Q3,Z1,Q3:zone=Z1:conf=0.7,1,29.6403,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.045743+00:00,exp_05_retry_success,sent_to_retry,c8e5b449-7954-40f8-8019-43c80dd1acb4,Q3,Z1,Q3:zone=Z1:conf=0.7,1,9.9407,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.054048+00:00,exp_05_retry_success,sent_to_retry,1ff582f5-09c3-4a61-b4ee-f43bd3a9c6fc,Q3,Z3,Q3:zone=Z3:conf=0.7,1,7.3017,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.064122+00:00,exp_05_retry_success,sent_to_retry,97d3f3b7-b3d0-4649-b3f6-d736738f417a,Q1,Z2,Q1:zone=Z2:conf=0.5,1,9.4671,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.072433+00:00,exp_05_retry_success,sent_to_retry,c8845651-6d69-4bdc-aac5-7656bd31f8f6,Q1,Z1,Q1:zone=Z1:conf=0.0,1,6.481,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.079563+00:00,exp_05_retry_success,sent_to_retry,0488e47a-072d-441b-8909-0587896a8f7c,Q3,Z3,Q3:zone=Z3:conf=0.7,1,5.5057,retry-topic,failed,Falla del Generador de Respuestas
2026-06-04T02:38:48.085617+00:00,exp_05_retry_success,sent_to_retry,706ec284-e274-4143-a352-1d8cc88164d1,Q1,Z2,Q1:zone=Z2:conf=0.7,1,5.2598,retry-topic,failed,Falla del Generador de Respuestas
